"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 20-Feb-2025","1W AGO 
 14-Feb-2025","1M AGO 
 22-Jan-2025","1Y AGO 
 22-Feb-2024","52W H 
","52W L 
","365 D % CHNG 
 22-Feb-2024","30 D % CHNG 
 22-Jan-2025"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,808.85","-0.36","14,845.55","14,942.30","14,761.40","-","14,862.45","14,862.45","14,858.65","15,628.80","-","18,764.95","9,887.45","-","-5.25"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","13,392.80","-1.15","13,525.00","13,591.55","13,343.90","-","13,548.20","13,548.20","13,430.00","13,922.95","-","16,253.65","8,394.35","-","-3.81"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","12,307.15","-0.75","12,379.40","12,494.30","12,270.20","-","12,400.70","12,400.70","12,170.20","12,871.65","-","15,154.10","8,010.10","-","-4.39"
"NIFTY INDIA DEFENCE","5,349.00","-1.23","5,402.90","5,501.65","5,320.30","-","5,415.70","5,415.70","5,285.75","6,104.80","4,455.84","8,302.05","3,374.95","20.04","-12.38"
"NIFTY INDIA TOURISM","8,279.20","-0.85","8,332.90","8,453.55","8,242.55","-","8,350.05","8,350.05","8,022.50","8,356.35","-","9,315.80","6,058.05","-","-0.92"
"NIFTY CAPITAL MARKETS","3,413.35","-1.20","3,453.65","3,509.80","3,399.40","-","3,454.75","3,454.75","3,243.70","3,654.55","-","4,265.80","2,009.60","-","-6.60"
"NIFTY EV & NEW AGE AUTOMOTIVE","2,699.95","-1.40","2,732.70","2,746.80","2,688.80","-","2,738.30","2,738.30","2,699.65","2,813.40","2,642.54","-","-","2.17","-4.03"
"NIFTY INDIA NEW AGE CONSUMPTION","10,397.95","-1.19","10,499.80","10,594.60","10,369.10","-","10,522.65","10,522.65","10,378.20","10,754.00","9,399.80","-","-","10.62","-3.31"
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","32,684.20","-1.41","33,080.55","33,215.30","32,579.35","-","33,150.55","33,150.55","33,070.90","34,079.50","34,838.70","-","-","-6.18","-4.09"
"NIFTY MOBILITY","18,184.45","-1.71","18,437.40","18,526.45","18,123.70","-","18,501.55","18,501.55","18,146.45","18,532.25","17,891.82","-","-","1.64","-1.88"
"NIFTY100 ENHANCED ESG","4,519.45","-0.61","4,538.20","4,558.40","4,504.25","-","4,547.20","4,547.20","4,520.85","4,568.25","4,397.13","-","-","2.78","-1.07"
"NIFTY CORE HOUSING","14,579.40","-0.67","14,651.30","14,763.45","14,518.45","-","14,678.00","14,678.00","14,571.85","15,076.05","14,632.51","17,961.70","13,704.80","-0.36","-3.29"
"NIFTY HOUSING","10,290.65","-0.13","10,281.15","10,356.50","10,226.55","-","10,304.00","10,304.00","10,152.55","10,395.50","10,383.63","12,386.30","9,853.00","-0.90","-1.01"
"NIFTY IPO","1,847.35","-1.07","1,866.45","1,896.60","1,841.45","-","1,867.25","1,867.25","1,828.20","1,976.90","2,003.82","2,387.55","1,742.35","-7.81","-6.55"
"NIFTY MIDSMALL INDIA CONSUMPTION","17,599.20","-1.31","17,826.25","17,922.35","17,526.65","-","17,832.95","17,832.95","17,494.75","18,529.60","15,936.16","21,008.10","14,493.40","10.44","-5.02"
"NIFTY NON-CYCLICAL CONSUMER","14,620.55","-0.59","14,706.45","14,781.40","14,572.75","-","14,708.00","14,708.00","14,681.40","15,203.55","13,775.22","18,289.65","13,081.55","6.14","-3.83"
